date,category,value,amount
2024-01-01,Электроника,105.34,21
2024-01-01,Одежда,82.17,4
2024-01-01,Книги,49.81,1
2024-01-02,Электроника,108.92,24
2024-01-02,Одежда,76.45,9
2024-01-02,Книги,51.23,8
2024-01-03,Электроника,112.56,8
2024-01-03,Одежда,79.88,5
2024-01-03,Книги,48.67,24
2024-01-04,Электроника,115.43,4
2024-01-04,Одежда,85.12,22
2024-01-04,Книги,52.09,24
2024-01-05,Электроника,120.78,18
2024-01-05,Одежда,91.34,3
2024-01-05,Книги,53.45,19
2024-01-06,Электроника,125.67,14
2024-01-06,Одежда,88.91,2
2024-01-06,Книги,49.78,1
2024-01-07,Электроника,118.23,3
2024-01-07,Одежда,82.45,7
2024-01-07,Книги,50.12,8
2024-01-08,Электроника,122.89,17
2024-01-08,Одежда,79.67,20
2024-01-08,Книги,51.89,1
2024-01-09,Электроника,128.54,18
2024-01-09,Одежда,85.23,7
2024-01-09,Книги,52.34,23
2024-01-10,Электроника,131.23,21
2024-01-10,Одежда,87.78,23
2024-01-10,Книги,53.12,18
2024-01-11,Электроника,135.67,14
2024-01-11,Одежда,92.45,8
2024-01-11,Книги,54.89,15
2024-01-12,Электроника,138.91,19
2024-01-12,Одежда,89.12,9
2024-01-12,Книги,55.23,26
2024-01-13,Электроника,142.34,1
2024-01-13,Одежда,94.56,25
2024-01-13,Книги,56.78,26
2024-01-14,Электроника,145.89,6
2024-01-14,Одежда,88.34,23
2024-01-14,Книги,57.45,14
2024-01-15,Электроника,150.12,11
2024-01-15,Одежда,96.78,9
2024-01-15,Книги,58.91,5
2024-01-16,Электроника,153.45,7
2024-01-16,Одежда,99.23,25
2024-01-16,Книги,59.34,11
2024-01-17,Электроника,157.89,4
2024-01-17,Одежда,101.56,3
2024-01-17,Книги,60.12,13
