date,category,value,amount
2024-01-01,Электроника,99.05,21
2024-01-01,Одежда,80.17,10
2024-01-01,Книги,48.53,5
2024-01-02,Электроника,99.66,19
2024-01-02,Одежда,79.7,10
2024-01-02,Книги,48.89,5
2024-01-03,Электроника,100.03,19
2024-01-03,Одежда,79.76,9
2024-01-03,Книги,48.59,4
2024-01-04,Электроника,101.01,19
2024-01-04,Одежда,81.62,11
2024-01-04,Книги,49.58,5
2024-01-05,Электроника,102.6,20
2024-01-05,Одежда,79.91,11
2024-01-05,Книги,49.44,4
2024-01-06,Электроника,102.92,19
2024-01-06,Одежда,81.51,11
2024-01-06,Книги,51.6,4
2024-01-07,Электроника,102.74,19
2024-01-07,Одежда,81.12,9
2024-01-07,Книги,51.89,5
2024-01-08,Электроника,102.52,21
2024-01-08,Одежда,80.26,9
2024-01-08,Книги,49.58,5
2024-01-09,Электроника,102.59,21
2024-01-09,Одежда,80.68,9
2024-01-09,Книги,50.06,4
2024-01-10,Электроника,102.11,19
2024-01-10,Одежда,80.25,11
2024-01-10,Книги,49.25,6
2024-01-11,Электроника,99.68,20
2024-01-11,Одежда,81.1,11
2024-01-11,Книги,51.06,5
2024-01-12,Электроника,102.51,21
2024-01-12,Одежда,82.73,9
2024-01-12,Книги,51.26,4
2024-01-13,Электроника,102.76,21
2024-01-13,Одежда,80.31,10
2024-01-13,Книги,51.4,6
2024-01-14,Электроника,102.13,22
2024-01-14,Одежда,82.45,9
2024-01-14,Книги,51.83,6
2024-01-15,Электроника,102.34,20
2024-01-15,Одежда,82.01,10
2024-01-15,Книги,52.16,6
2024-01-16,Электроника,103.12,20
2024-01-16,Одежда,81.21,10
2024-01-16,Книги,52.18,6
2024-01-17,Электроника,102.25,22
2024-01-17,Одежда,82.89,11
2024-01-17,Книги,51.88,5
2024-01-18,Электроника,102.4,21
2024-01-18,Одежда,81.86,12
2024-01-18,Книги,51.43,6
2024-01-19,Электроника,103.1,21
2024-01-19,Одежда,81.86,10
2024-01-19,Книги,51.04,6
2024-01-20,Электроника,103.1,20
2024-01-20,Одежда,82.94,11
2024-01-20,Книги,50.51,6
2024-01-21,Электроника,104.33,20
2024-01-21,Одежда,83.64,10
2024-01-21,Книги,52.89,5
2024-01-22,Электроника,104.26,22
2024-01-22,Одежда,83.0,10
2024-01-22,Книги,52.1,4
2024-01-23,Электроника,104.2,20
2024-01-23,Одежда,84.83,11
2024-01-23,Книги,53.79,5
2024-01-24,Электроника,104.7,21
2024-01-24,Одежда,82.95,11
2024-01-24,Книги,52.25,6
2024-01-25,Электроника,105.17,20
2024-01-25,Одежда,81.74,12
2024-01-25,Книги,52.72,6
2024-01-26,Электроника,105.94,22
2024-01-26,Одежда,82.46,10
2024-01-26,Книги,54.72,6
2024-01-27,Электроника,104.81,21
2024-01-27,Одежда,83.97,11
2024-01-27,Книги,53.98,5
2024-01-28,Электроника,105.21,21
2024-01-28,Одежда,82.69,11
2024-01-28,Книги,51.49,5
2024-01-29,Электроника,103.87,20
2024-01-29,Одежда,84.3,10
2024-01-29,Книги,52.98,5
2024-01-30,Электроника,103.78,22
2024-01-30,Одежда,83.85,11
2024-01-30,Книги,52.78,6
2024-01-31,Электроника,106.73,20
2024-01-31,Одежда,84.73,12
2024-01-31,Книги,52.26,6
2024-02-01,Электроника,105.7,22
2024-02-01,Одежда,84.99,10
2024-02-01,Книги,52.9,7
2024-02-02,Электроника,105.66,22
2024-02-02,Одежда,83.44,11
2024-02-02,Книги,52.51,5
2024-02-03,Электроника,105.67,21
2024-02-03,Одежда,87.25,11
2024-02-03,Книги,54.75,7
2024-02-04,Электроника,106.1,22
2024-02-04,Одежда,83.66,11
2024-02-04,Книги,54.84,7
2024-02-05,Электроника,107.47,23
2024-02-05,Одежда,85.39,12
2024-02-05,Книги,53.27,5
2024-02-06,Электроника,107.9,23
2024-02-06,Одежда,84.79,12
2024-02-06,Книги,54.16,6
2024-02-07,Электроника,107.46,23
2024-02-07,Одежда,85.37,11
2024-02-07,Книги,54.25,7
2024-02-08,Электроника,107.5,23
2024-02-08,Одежда,86.67,12
2024-02-08,Книги,53.87,7
2024-02-09,Электроника,108.42,22
2024-02-09,Одежда,84.33,12
2024-02-09,Книги,54.73,5
2024-02-10,Электроника,109.21,22
2024-02-10,Одежда,86.64,10
2024-02-10,Книги,52.6,7
2024-02-11,Электроника,108.7,21
2024-02-11,Одежда,86.32,11
2024-02-11,Книги,52.39,5
2024-02-12,Электроника,108.98,23
2024-02-12,Одежда,86.04,10
2024-02-12,Книги,54.77,7
2024-02-13,Электроника,108.06,22
2024-02-13,Одежда,86.3,10
2024-02-13,Книги,55.88,7
2024-02-14,Электроника,109.0,21
2024-02-14,Одежда,87.72,10
2024-02-14,Книги,53.29,6
2024-02-15,Электроника,109.46,21
2024-02-15,Одежда,86.02,10
2024-02-15,Книги,55.07,5
2024-02-16,Электроника,107.02,23
2024-02-16,Одежда,88.21,12
2024-02-16,Книги,55.69,6
2024-02-17,Электроника,108.98,22
2024-02-17,Одежда,87.71,10
2024-02-17,Книги,53.82,6
2024-02-18,Электроника,109.87,22
2024-02-18,Одежда,87.84,11
2024-02-18,Книги,55.61,5
2024-02-19,Электроника,112.8,23
2024-02-19,Одежда,86.99,10
2024-02-19,Книги,55.77,6
2024-02-20,Электроника,109.65,22
2024-02-20,Одежда,86.33,10
2024-02-20,Книги,55.52,5
2024-02-21,Электроника,109.28,22
2024-02-21,Одежда,86.03,11
2024-02-21,Книги,56.92,5
2024-02-22,Электроника,109.37,24
2024-02-22,Одежда,87.57,11
2024-02-22,Книги,55.43,6
2024-02-23,Электроника,108.26,23
2024-02-23,Одежда,87.0,11
2024-02-23,Книги,55.19,6
2024-02-24,Электроника,110.84,23
2024-02-24,Одежда,86.55,12
2024-02-24,Книги,54.48,7
2024-02-25,Электроника,110.19,22
2024-02-25,Одежда,88.54,13
2024-02-25,Книги,55.61,7
2024-02-26,Электроника,111.4,22
2024-02-26,Одежда,86.67,13
2024-02-26,Книги,56.79,6
2024-02-27,Электроника,112.02,23
2024-02-27,Одежда,87.99,12
2024-02-27,Книги,54.61,5
2024-02-28,Электроника,111.92,23
2024-02-28,Одежда,88.88,13
2024-02-28,Книги,53.75,6
2024-02-29,Электроника,110.53,24
2024-02-29,Одежда,87.16,13
2024-02-29,Книги,56.75,5
2024-03-01,Электроника,113.59,24
2024-03-01,Одежда,91.15,13
2024-03-01,Книги,55.22,5
2024-03-02,Электроника,112.75,24
2024-03-02,Одежда,88.93,11
2024-03-02,Книги,56.8,7
2024-03-03,Электроника,113.12,24
2024-03-03,Одежда,88.59,11
2024-03-03,Книги,57.5,7
2024-03-04,Электроника,113.08,22
2024-03-04,Одежда,88.24,12
2024-03-04,Книги,57.91,5
2024-03-05,Электроника,113.37,22
2024-03-05,Одежда,89.53,11
2024-03-05,Книги,56.46,6
2024-03-06,Электроника,112.6,22
2024-03-06,Одежда,89.23,12
2024-03-06,Книги,56.08,5
2024-03-07,Электроника,113.0,23
2024-03-07,Одежда,91.47,12
2024-03-07,Книги,55.96,5
2024-03-08,Электроника,112.51,24
2024-03-08,Одежда,89.78,12
2024-03-08,Книги,58.06,6
2024-03-09,Электроника,112.75,22
2024-03-09,Одежда,90.51,13
2024-03-09,Книги,55.38,5
2024-03-10,Электроника,113.76,23
2024-03-10,Одежда,91.23,13
2024-03-10,Книги,55.89,7
2024-03-11,Электроника,113.7,22
2024-03-11,Одежда,89.31,11
2024-03-11,Книги,57.28,5
2024-03-12,Электроника,114.62,23
2024-03-12,Одежда,92.45,12
2024-03-12,Книги,57.23,7
2024-03-13,Электроника,115.39,23
2024-03-13,Одежда,91.0,11
2024-03-13,Книги,57.17,6
2024-03-14,Электроника,114.1,25
2024-03-14,Одежда,90.82,13
2024-03-14,Книги,57.14,6
2024-03-15,Электроника,114.96,24
2024-03-15,Одежда,91.64,13
2024-03-15,Книги,58.35,7
2024-03-16,Электроника,114.3,23
2024-03-16,Одежда,90.09,13
2024-03-16,Книги,58.89,8
2024-03-17,Электроника,114.95,25
2024-03-17,Одежда,90.82,12
2024-03-17,Книги,57.42,7
2024-03-18,Электроника,115.69,23
2024-03-18,Одежда,90.2,13
2024-03-18,Книги,57.93,7
2024-03-19,Электроника,114.84,24
2024-03-19,Одежда,90.46,11
2024-03-19,Книги,58.85,7
2024-03-20,Электроника,116.83,25
2024-03-20,Одежда,90.5,11
2024-03-20,Книги,57.34,8
2024-03-21,Электроника,116.3,24
2024-03-21,Одежда,92.0,13
2024-03-21,Книги,57.07,7
2024-03-22,Электроника,117.26,23
2024-03-22,Одежда,91.23,13
2024-03-22,Книги,57.55,6
2024-03-23,Электроника,114.98,25
2024-03-23,Одежда,92.35,11
2024-03-23,Книги,58.35,8
2024-03-24,Электроника,117.16,23
