date,category,value,amount
2023-01-01,Электроника,95.46,11
2023-01-02,Электроника,98.48,13
2023-01-03,Электроника,101.43,14
2023-01-04,Электроника,105.13,12
2023-01-05,Электроника,106.41,13
2023-01-06,Электроника,99.35,16
2023-01-07,Электроника,94.06,12
2023-01-08,Электроника,100.34,15
2023-01-09,Электроника,103.57,12
2023-01-10,Электроника,105.26,13
2023-01-11,Электроника,105.71,14
2023-01-12,Электроника,105.08,16
2023-01-13,Электроника,103.66,13
2023-01-14,Электроника,99.37,14
2023-01-15,Электроника,96.92,11
2023-01-16,Электроника,99.4,15
2023-01-17,Электроника,107.18,15
2023-01-18,Электроника,106.51,16
2023-01-19,Электроника,107.11,13
2023-01-20,Электроника,100.96,13
2023-01-21,Электроника,98.78,16
2023-01-22,Электроника,96.49,11
2023-01-23,Электроника,105.74,13
2023-01-24,Электроника,111.35,15
2023-01-25,Электроника,108.13,14
2023-01-26,Электроника,109.11,13
2023-01-27,Электроника,102.55,16
2023-01-28,Электроника,102.19,13
2023-01-29,Электроника,102.88,14
2023-01-30,Электроника,106.45,13
2023-01-31,Электроника,112.1,13
2023-02-01,Электроника,111.31,14
2023-02-02,Электроника,107.29,17
2023-02-03,Электроника,107.18,15
2023-02-04,Электроника,103.91,13
2023-02-05,Электроника,102.9,16
2023-02-06,Электроника,108.52,13
2023-02-07,Электроника,112.8,15
2023-02-08,Электроника,112.7,16
2023-02-09,Электроника,111.94,13
2023-02-10,Электроника,107.02,17
2023-02-11,Электроника,104.0,14
2023-02-12,Электроника,105.15,15
2023-02-13,Электроника,111.33,17
2023-02-14,Электроника,116.14,14
2023-02-15,Электроника,115.93,16
2023-02-16,Электроника,111.53,13
2023-02-17,Электроника,112.47,14
2023-02-18,Электроника,106.32,17
2023-02-19,Электроника,104.34,12
2023-02-20,Электроника,111.42,13
2023-02-21,Электроника,112.54,16
2023-02-22,Электроника,113.53,16
2023-02-23,Электроника,112.99,15
2023-02-24,Электроника,109.77,16
2023-02-25,Электроника,105.79,13
2023-02-26,Электроника,107.96,13
2023-02-27,Электроника,113.56,17
2023-02-28,Электроника,117.59,14
2023-03-01,Электроника,116.86,16
2023-03-02,Электроника,116.61,14
2023-03-03,Электроника,107.81,14
2023-03-04,Электроника,108.03,16
2023-03-05,Электроника,104.64,13
2023-03-06,Электроника,113.83,17
2023-03-07,Электроника,118.92,16
2023-03-08,Электроника,114.39,17
2023-03-09,Электроника,110.78,17
2023-03-10,Электроника,111.93,17
2023-03-11,Электроника,107.44,13
2023-03-12,Электроника,107.72,17
2023-03-13,Электроника,116.44,18
2023-03-14,Электроника,115.2,16
2023-03-15,Электроника,114.28,14
2023-03-16,Электроника,116.93,17
2023-03-17,Электроника,112.67,15
2023-03-18,Электроника,107.21,16
2023-03-19,Электроника,109.05,15
2023-03-20,Электроника,113.44,14
2023-03-21,Электроника,113.4,15
2023-03-22,Электроника,120.61,17
2023-03-23,Электроника,114.54,16
2023-03-24,Электроника,109.71,13
2023-03-25,Электроника,108.28,15
2023-03-26,Электроника,113.74,17
2023-03-27,Электроника,112.25,17
2023-03-28,Электроника,120.06,18
2023-03-29,Электроника,119.36,18
2023-03-30,Электроника,117.66,18
2023-03-31,Электроника,109.2,13
2023-04-01,Электроника,110.68,15
2023-04-02,Электроника,107.26,14
2023-04-03,Электроника,114.85,17
2023-04-04,Электроника,119.97,18
2023-04-05,Электроника,119.29,15
2023-04-06,Электроника,115.22,17
2023-04-07,Электроника,112.26,15
2023-04-08,Электроника,107.87,17
